2026-08-18T15:00:11Z [INFO] Spawning terminal server process...
2026-08-18T15:00:11Z [INFO] Running terminal server...
2026-08-18T15:00:11Z [INFO] Migrating public settings from native store to settings.toml
2026-08-18T15:00:11Z [INFO] Settings file migration complete — migrated 0 settings, 0 failed
2026-08-18T15:00:11Z [INFO] Unable to read user from secure storage: SecureStorageError(NotFound)
2026-08-18T15:00:11Z [WARN] Error loading CA root certificate: failed to read PEM from file: Permission denied (os error 13) at '/etc/pki/tls/certs/sendmail.pem'
2026-08-18T15:00:11Z [WARN] Error loading CA root certificate: failed to read PEM from file: Permission denied (os error 13) at '/etc/pki/tls/certs/sendmail.pem'
2026-08-18T15:00:11Z [INFO] Connecting to SQLite database
2026-08-18T15:00:15Z [WARN] SQLite error 284 (Automatic indexing used - database might benefit from additional indexes): automatic index on object_permissions(subject_type)
2026-08-18T15:00:19Z [INFO] Initializing crash reporting Some("linux_stable_release") with tag "v0.2026.08.12.21.54.stable_00"...
2026-08-18T15:00:19Z [WARN] Error loading CA root certificate: failed to read PEM from file: Permission denied (os error 13) at '/etc/pki/tls/certs/sendmail.pem'
2026-08-18T15:00:19Z [INFO] Starting warp with channel state ChannelState { channel: Stable, additional_features: {}, config: ChannelConfig { app_id: AppId { qualifier: "dev", organization: "warp", application_name: "Warp" }, logfile_name: "warp.log", server_config: WarpServerConfig { server_root_url: "https://app.warp.dev", rtc_server_url: "wss://rtc.app.warp.dev/graphql/v2", session_sharing_server_url: Some("wss://sessions.app.warp.dev"), firebase_auth_api_key: "AIzaSyBdy3O3S9hrdayLJxJ7mriBR4qgUaUygAs", iap_config: None }, oz_config: OzConfig { oz_root_url: "https://oz.warp.dev", workload_audience_url: None }, telemetry_config: Some(TelemetryConfig { telemetry_file_name: "warp.telemetry", rudderstack_config: Some(RudderStackConfig { write_key: "2iyG8S1RaV4XTX6SEypetFSEbLK", root_url: "https://warpianwzlfqdq.dataplane.rudderstack.com", ugc_write_key: "2uBazVfcqYBDYSOHnqSVx45GpTV" }) }), autoupdate_config: Some(AutoupdateConfig { releases_base_url: "https://releases.warp.dev", show_autoupdate_menu_items: true }), crash_reporting_config: Some(CrashReportingConfig { sentry_url: "https://0195a81da0714f55a93ee4624825f9ec@o540343.ingest.sentry.io/5658526" }), mcp_static_config: Some(McpStaticConfig { providers: [McpOAuthProviderConfig { issuer: "https://github.com/login/oauth", client_id: "Ov23lihTVQYPrqSxZi1F", client_secret: "ea776ec101b0fc6cc5db9d5ad2fbf61d18087883", loopback_client: None }] }) } } and version Some("v0.2026.08.12.21.54.stable_00")
2026-08-18T15:00:19Z [INFO] Computing available system fonts
2026-08-18T15:00:19Z [INFO] Start to send telemetry events to RudderStack
2026-08-18T15:00:19Z [INFO] Start to send telemetry events to RudderStack
2026-08-18T15:00:19Z [INFO] Initializing app services
2026-08-18T15:00:19Z [INFO] Converting 0 legacy MCP servers into templatable MCP servers
2026-08-18T15:00:19Z [INFO] Initialized execution profile model with state: Unsynced, file_backed_profiles: false
2026-08-18T15:00:19Z [INFO] Start to send telemetry events to RudderStack
2026-08-18T15:00:19Z [INFO] Daemon bound to /home/iac-666660/.warp/remote-server/2148d9c5/server-175d5b72.sock
2026-08-18T15:00:19Z [INFO] Daemon started: PID=332524, host_id=94bd97f1-f7ca-4555-8907-2a96e8027c50
2026-08-18T15:00:19Z [INFO] Cleaning up index metadata from SQLite
2026-08-18T15:00:19Z [INFO] Daemon: accepted connection 3c782523-aa89-4030-8d42-0982c09db65c
2026-08-18T15:00:19Z [INFO] Daemon: connection 3c782523-aa89-4030-8d42-0982c09db65c registered — 1 active, host_id=94bd97f1-f7ca-4555-8907-2a96e8027c50
2026-08-18T15:00:19Z [INFO] Handling Initialize (request_id=8983d680-1dfa-4559-a045-0fcca03592a9)
2026-08-18T15:00:19Z [INFO] [Remote codebase indexing] Daemon applying codebase index limits: max_indices_allowed=Some(3) max_files_per_repo=5000 embedding_generation_batch_size=100
2026-08-18T15:00:19Z [INFO] Read 8 bundled skills
2026-08-18T15:00:19Z [INFO] Read 13 bundled skills
2026-08-18T15:00:19Z [INFO] Daemon parsed 18 bundled skills
2026-08-18T15:00:19Z [INFO] Handling SessionBootstrapped: session_id=SessionId(3395227063091197167), shell_type="bash", shell_path=Some("/usr/bin/bash")
2026-08-18T15:00:19Z [INFO] Handling RunCommand (request_id=b4a3e215-3bba-4be5-9a44-31e7a75f0aaf, session_id=SessionId(3395227063091197167)): command="cat '/home/iac-666660/.bash_history'", cwd=None
2026-08-18T15:00:19Z [INFO] Handling RunCommand (request_id=2c546d04-4c72-4848-b014-a0bd34cac274, session_id=SessionId(3395227063091197167)): command="COMMANDS=($(compgen -c)); TYPES=($(type -t ${COMMANDS[@]})); for i in \"${!COMMANDS[@]}\"; do if [[ ${TYPES[$i]} == \"file\" ]]; then echo ${COMMANDS[$i]}; fi; done", cwd=None
2026-08-18T15:00:19Z [INFO] Handling RunCommand (request_id=f071fe07-18e5-49be-9555-8e6e1003723d, session_id=SessionId(3395227063091197167)): command=" cd /home/umax &&  find -L . -maxdepth 1 -type d -print0 && printf '%b' '\\0' && find -L . -maxdepth 1 -not -type d -print0             ", cwd=None
2026-08-18T15:00:19Z [INFO] Handling RunCommand (request_id=23f6b9d9-35d8-4204-83f6-14b37ad98974, session_id=SessionId(3395227063091197167)): command=" cd /home/umax &&  find -L . -maxdepth 1 -type d -print0 && printf '%b' '\\0' && find -L . -maxdepth 1 -not -type d -print0             ", cwd=None
2026-08-18T15:00:19Z [INFO] Handling RunCommand (request_id=3a4d76e2-9b09-451c-b1ff-72e370ea1372, session_id=SessionId(3395227063091197167)): command=" cd /home/umax &&  find -L . -maxdepth 1 -type d -print0 && printf '%b' '\\0' && find -L . -maxdepth 1 -not -type d -print0             ", cwd=None
2026-08-18T15:00:19Z [INFO] Handling GetDiffState repo=/home/iac-666660 mode=Head (request_id=a9968712-a01b-4fd9-9515-60091909dfd3)
2026-08-18T15:00:19Z [INFO] RunCommand completed (request_id=b4a3e215-3bba-4be5-9a44-31e7a75f0aaf): exit_code=Some(ExitCode(0)), stdout_len=2652, stderr_len=0
2026-08-18T15:00:19Z [INFO] Handling GetBranches repo=/home/iac-666660 (request_id=7133450d-5796-4ea8-b07b-e72553791515)
2026-08-18T15:00:19Z [INFO] RunCommand completed (request_id=f071fe07-18e5-49be-9555-8e6e1003723d): exit_code=Some(ExitCode(1)), stdout_len=0, stderr_len=65
2026-08-18T15:00:19Z [INFO] RunCommand completed (request_id=3a4d76e2-9b09-451c-b1ff-72e370ea1372): exit_code=Some(ExitCode(1)), stdout_len=0, stderr_len=65
2026-08-18T15:00:19Z [INFO] RunCommand completed (request_id=23f6b9d9-35d8-4204-83f6-14b37ad98974): exit_code=Some(ExitCode(1)), stdout_len=0, stderr_len=65
2026-08-18T15:00:19Z [INFO] Handling NavigatedToDirectory path=/home/iac-666660 (request_id=d183a191-4870-4f68-8744-6e904c532a4f)
2026-08-18T15:00:19Z [INFO] Handling RunCommand (request_id=52ddfacb-8732-4aa6-a937-5d824d8499e7, session_id=SessionId(3395227063091197167)): command=" cd /home/umax &&  find -L . -maxdepth 1 -type d -print0 && printf '%b' '\\0' && find -L . -maxdepth 1 -not -type d -print0             ", cwd=None
2026-08-18T15:00:19Z [INFO] Handling RunCommand (request_id=d4cda62a-029f-4759-9b34-e1a9461d2129, session_id=SessionId(3395227063091197167)): command=" cd /home/umax &&  find -L . -maxdepth 1 -type d -print0 && printf '%b' '\\0' && find -L . -maxdepth 1 -not -type d -print0             ", cwd=None
2026-08-18T15:00:19Z [INFO] Handling RunCommand (request_id=6c35dedc-141f-4ccb-8b83-85671e88eec5, session_id=SessionId(3395227063091197167)): command=" cd /home/umax &&  find -L . -maxdepth 1 -type d -print0 && printf '%b' '\\0' && find -L . -maxdepth 1 -not -type d -print0             ", cwd=None
2026-08-18T15:00:19Z [INFO] Handling RunCommand (request_id=e6b41a44-b440-423f-8919-e4303701a834, session_id=SessionId(3395227063091197167)): command=" cd /home/umax &&  find -L . -maxdepth 1 -type d -print0 && printf '%b' '\\0' && find -L . -maxdepth 1 -not -type d -print0             ", cwd=None
2026-08-18T15:00:19Z [INFO] Handling RunCommand (request_id=d9abf676-5e9c-4e2b-b0fb-84704a3b3408, session_id=SessionId(3395227063091197167)): command=" cd /home/umax &&  find -L . -maxdepth 1 -type d -print0 && printf '%b' '\\0' && find -L . -maxdepth 1 -not -type d -print0             ", cwd=None
